034e164c-6fe2-4d51-861c-95d02eb3f6ed,28498490,2026-04-24,02:26:00,IIT Gandhinagar, Acad Block Path, - 382019, GJ, India,Sector 9, Panchkula, India,ols,50,0
9cdc933e-0676-41ba-ae65-7637db70d3ab,28498439,2026-02-12,16:15:00,IIT Gandhinagar (Palaj),IIT Gandhinagar (Palaj),InDrive,484,0
9e1bc7fd-a916-4453-a378-017a0e304316,28498440,2026-02-02,19:15:00,IIT Gandhinagar (Palaj),Ahmedabad Railway Station,Ola,461,0
a8749424-ac53-4119-9b95-6d621d37d052,28498450,2026-02-11,16:15:00,SG Highway,SG Highway,Uber,446,0
b3b7e197-41bd-442c-b30e-94d2ed874009,28498452,2026-02-04,16:30:00,SG Highway,SG Highway,Private,483,0
b539a100-4699-41d7-bc48-892b1d89bad2,28498439,2026-02-02,12:15:00,Ahmedabad Railway Station,Ahmedabad Railway Station,Uber,133,0
bda24468-ca06-4713-988e-2f9e2cdaa500,28498453,2026-02-01,13:00:00,IIT Gandhinagar (Palaj),IIT Gandhinagar (Palaj),Ola,510,0
c2720c19-64e7-4608-bd08-5645c277aa96,28498489,2026-03-29,16:33:00,IIT Gandhinagar, Acad Block Path, - 382019, GJ, India,GIFT City, Gandhinagar Taluka, India,Uber,200,0
cf56023f-de0e-4c63-9db6-bbbd554d452b,28498451,2026-02-14,20:00:00,Ahmedabad Railway Station,IIT Gandhinagar (Palaj),Ola,243,0
cf97d981-4613-4bac-971e-e6865052db20,28498450,2026-01-26,11:15:00,Infocity,IIT Gandhinagar (Palaj),InDrive,330,0
d0f95a70-14c5-4c70-914b-b12771c1098a,28498458,2026-02-03,07:30:00,IIT Gandhinagar (Palaj),IIT Gandhinagar (Palaj),Uber,261,0
ded92a7a-cb50-4381-8926-2be10b4c45ca,28498449,2026-01-26,16:00:00,IIT Gandhinagar (Palaj),Gift City,Uber,476,0
e4006a76-2154-4b20-ab75-7e2e8184c837,28498450,2026-01-27,11:15:00,SVPI Airport,IIT Gandhinagar (Palaj),InDrive,496,0
e50d3163-58e1-4708-a621-efafef1425d6,28498450,2026-02-12,22:15:00,IIT Gandhinagar (Palaj),IIT Gandhinagar (Palaj),Ola,200,1
e83d295e-e4ef-48f1-aca2-ae62debe3381,28498459,2026-01-30,09:30:00,SG Highway,IIT Gandhinagar (Palaj),Uber,356,0
e98af64b-0dd8-4ae5-90db-063445fb203a,28498446,2026-02-10,07:15:00,SG Highway,SG Highway,Private,474,1
f45f8311-e93f-4eba-b0a1-caa4ca41f858,28498463,2026-02-07,22:00:00,IIT Gandhinagar (Palaj),SVPI Airport,Private,459,0
